MSG_GENERAL,timelog_us,severity,msg
MSG_GENERAL,324,0,Lucifer init
REGULATION,timelog_us,runtime_us,temp,temp_consigne,out,Kp,Ki,Kd
ACTUATOR,timelog_us,runtime_us,out_pid,out_pid_cons,w_start_ms,w_thresh_ms,on_off
MSG_REGULATION,timelog_us,severity,msg
MSG_BUTTON,timelog_us,severity,msg
REGULATION,24531212,252,22,30,80.00,10.00,0.00,0.00
REGULATION,25287836,1021,22,30,80.00,10.00,0.00,0.00
ACTUATOR,25821956,25821,80.00,0.80,25243,800.00,1
REGULATION,26295804,2021,22,30,80.00,10.00,0.00,0.00
REGULATION,27283844,3016,22,30,80.00,10.00,0.00,0.00
ACTUATOR,27416028,27415,80.00,0.80,27243,800.00,1
REGULATION,28284120,4017,22,30,80.00,10.00,0.00,0.00
ACTUATOR,28708044,28707,80.00,0.80,28243,800.00,1
REGULATION,29292100,5017,22,31,90.00,10.00,0.00,0.00
ACTUATOR,30004912,30004,90.00,0.90,29243,900.00,1
REGULATION,30292580,6025,22,31,90.00,10.00,0.00,0.00
REGULATION,31280456,7013,22,31,90.00,10.00,0.00,0.00
ACTUATOR,31585792,31585,90.00,0.90,31243,900.00,1
REGULATION,32288480,8015,22,31,90.00,10.00,0.00,0.00
ACTUATOR,32880668,32880,90.00,0.90,32243,900.00,1
REGULATION,33286680,9019,22,31,90.00,10.00,0.00,0.00
REGULATION,34294404,10020,22,32,100.00,10.00,0.00,0.00
ACTUATOR,34464260,34463,100.00,1.00,34243,1000.00,1
REGULATION,35282468,11015,22,32,100.00,10.00,0.00,0.00
ACTUATOR,35766140,35765,100.00,1.00,35243,1000.00,1
REGULATION,36282716,12015,22,32,100.00,10.00,0.00,0.00
REGULATION,37290668,13017,22,32,100.00,10.00,0.00,0.00
ACTUATOR,37351372,37350,100.00,1.00,37243,1000.00,1
REGULATION,38288620,14021,22,32,100.00,10.00,0.00,0.00
ACTUATOR,38643200,38642,100.00,1.00,38243,1000.00,1
REGULATION,39296556,15022,22,33,100.00,10.00,0.00,0.00
ACTUATOR,39939156,39939,100.00,1.00,39243,1000.00,1
REGULATION,40286056,16019,22,33,100.00,10.00,0.00,0.00
REGULATION,41284820,17018,22,33,100.00,10.00,0.00,0.00
ACTUATOR,41530924,41530,100.00,1.00,41243,1000.00,1
REGULATION,42292780,18018,22,33,100.00,10.00,0.00,0.00
ACTUATOR,42824620,42823,100.00,1.00,42243,1000.00,1
REGULATION,43280848,19013,22,33,100.00,10.00,0.00,0.00
REGULATION,44281076,20014,22,34,100.00,10.00,0.00,0.00
ACTUATOR,44418732,44418,100.00,1.00,44243,1000.00,1
REGULATION,45289052,21014,22,34,100.00,10.00,0.00,0.00
ACTUATOR,45720532,45719,100.00,1.00,45243,1000.00,1
REGULATION,46286976,22020,22,34,100.00,10.00,0.00,0.00
REGULATION,47294256,23020,21,34,100.00,10.00,0.00,0.00
ACTUATOR,47296964,47296,100.00,1.00,47243,1000.00,1
REGULATION,48282960,24016,22,34,100.00,10.00,0.00,0.00
ACTUATOR,48605952,48605,100.00,1.00,48243,1000.00,1
