MSG_GENERAL,timelog_us,severity,msg
MSG_GENERAL,324,0,Lucifer init
REGULATION,timelog_us,runtime_us,temp,temp_consigne,out,Kp,Ki,Kd
ACTUATOR,timelog_us,runtime_us,out_pid,out_pid_cons,w_start_ms,w_thresh_ms,on_off
MSG_REGULATION,timelog_us,severity,msg
MSG_BUTTON,timelog_us,severity,msg
REGULATION,60196972,505,82,82,0.00,10.00,0.00,0.00
REGULATION,60920580,1229,82,82,0.00,10.00,0.00,0.00
ACTUATOR,61515172,61514,0.00,0.00,60921,0.00,0
REGULATION,61920956,2229,82,82,0.00,10.00,0.00,0.00
REGULATION,62929376,3230,82,82,0.00,10.00,0.00,0.00
ACTUATOR,63099028,63098,0.00,0.00,62921,0.00,0
REGULATION,63927196,4235,82,82,0.00,10.00,0.00,0.00
ACTUATOR,64391200,64391,0.00,0.00,63921,0.00,0
REGULATION,64935484,5236,82,82,0.00,10.00,0.00,0.00
REGULATION,65923372,6231,82,83,10.00,10.00,0.00,0.00
ACTUATOR,65985676,65985,10.00,0.10,65921,100.00,1
REGULATION,66923696,7231,82,83,10.00,10.00,0.00,0.00
ACTUATOR,67287344,67287,10.00,0.10,66921,100.00,0
REGULATION,67931960,8232,82,83,10.00,10.00,0.00,0.00
ACTUATOR,68584332,68583,10.00,0.10,67921,100.00,0
REGULATION,68921336,9229,82,83,10.00,10.00,0.00,0.00
REGULATION,69920344,10228,82,83,10.00,10.00,0.00,0.00
ACTUATOR,70183100,70182,10.00,0.10,69921,100.00,0
REGULATION,70928696,11229,82,83,10.00,10.00,0.00,0.00
ACTUATOR,71480740,71480,10.00,0.10,70921,100.00,0
REGULATION,71926572,12235,82,84,20.00,10.00,0.00,0.00
REGULATION,72934304,13235,81,84,30.00,10.00,0.00,0.00
ACTUATOR,73074524,73073,30.00,0.30,72921,300.00,1
REGULATION,73922936,14231,82,84,20.00,10.00,0.00,0.00
ACTUATOR,74376544,74376,20.00,0.20,73921,200.00,0
REGULATION,74923288,15231,82,84,20.00,10.00,0.00,0.00
REGULATION,75930984,16232,81,84,30.00,10.00,0.00,0.00
ACTUATOR,75972448,75971,30.00,0.30,75921,300.00,1
