MSG_GENERAL,timelog_us,severity,msg
MSG_GENERAL,324,0,Lucifer init
REGULATION,timelog_us,runtime_us,temp,temp_consigne,out,Kp,Ki,Kd
ACTUATOR,timelog_us,runtime_us,out_pid,out_pid_cons,w_start_ms,w_thresh_ms,on_off
MSG_REGULATION,timelog_us,severity,msg
MSG_BUTTON,timelog_us,severity,msg
REGULATION,8472532,252,47,30,0.00,10.00,0.00,0.00
REGULATION,9289880,1081,47,30,0.00,10.00,0.00,0.00
ACTUATOR,9768900,9767,0.00,0.00,9185,0.00,0
REGULATION,10291908,2076,47,30,0.00,10.00,0.00,0.00
REGULATION,11290116,3081,47,30,0.00,10.00,0.00,0.00
ACTUATOR,11357980,11357,0.00,0.00,11185,0.00,0
REGULATION,12292224,4077,47,30,0.00,10.00,0.00,0.00
ACTUATOR,12653312,12652,0.00,0.00,12185,0.00,0
REGULATION,13280576,5071,47,30,0.00,10.00,0.00,0.00
ACTUATOR,13955400,13955,0.00,0.00,13185,0.00,0
REGULATION,14282176,6073,47,30,0.00,10.00,0.00,0.00
REGULATION,15285904,7076,47,31,0.00,10.00,0.00,0.00
ACTUATOR,15548432,15548,0.00,0.00,15185,0.00,0
REGULATION,16285876,8077,47,31,0.00,10.00,0.00,0.00
ACTUATOR,16844924,16844,0.00,0.00,16185,0.00,0
REGULATION,17287976,9072,47,31,0.00,10.00,0.00,0.00
REGULATION,18286252,10077,47,31,0.00,10.00,0.00,0.00
ACTUATOR,18433588,18433,0.00,0.00,18185,0.00,0
REGULATION,19288348,11073,47,31,0.00,10.00,0.00,0.00
ACTUATOR,19730040,19729,0.00,0.00,19185,0.00,0
REGULATION,20286552,12077,47,31,0.00,10.00,0.00,0.00
REGULATION,21288656,13073,47,31,0.00,10.00,0.00,0.00
ACTUATOR,21311088,21310,0.00,0.00,21185,0.00,0
REGULATION,22286868,14077,47,32,0.00,10.00,0.00,0.00
ACTUATOR,22615160,22615,0.00,0.00,22185,0.00,0
REGULATION,23289004,15074,47,32,0.00,10.00,0.00,0.00
ACTUATOR,23911644,23911,0.00,0.00,23185,0.00,0
REGULATION,24287612,16078,47,32,0.00,10.00,0.00,0.00
