MSG_GENERAL,timelog_us,severity,msg
MSG_GENERAL,324,0,Lucifer init
REGULATION,timelog_us,runtime_us,temp,temp_consigne,out,Kp,Ki,Kd
ACTUATOR,timelog_us,runtime_us,out_pid,out_pid_cons,w_start_ms,w_thresh_ms,on_off
MSG_REGULATION,timelog_us,severity,msg
MSG_BUTTON,timelog_us,severity,msg
REGULATION,11552436,251,24,0,0.00,10.00,0.00,0.00
REGULATION,12279108,991,24,0,0.00,10.00,0.00,0.00
ACTUATOR,12843376,12843,0.00,0.00,12264,0.00,0
REGULATION,13286880,1992,24,0,0.00,10.00,0.00,0.00
REGULATION,14284968,2997,24,1,0.00,10.00,0.00,0.00
ACTUATOR,14431900,14431,0.00,0.00,14264,0.00,0
REGULATION,15292704,3997,24,1,0.00,10.00,0.00,0.00
ACTUATOR,15724372,15723,0.00,0.00,15264,0.00,0
REGULATION,16280960,4993,24,2,0.00,10.00,0.00,0.00
REGULATION,17281216,5993,24,2,0.00,10.00,0.00,0.00
ACTUATOR,17320012,17319,0.00,0.00,17264,0.00,0
REGULATION,18289024,6993,24,2,0.00,10.00,0.00,0.00
ACTUATOR,18619688,18619,0.00,0.00,18264,0.00,0
REGULATION,19277248,7989,24,3,0.00,10.00,0.00,0.00
ACTUATOR,19922124,19921,0.00,0.00,19264,0.00,0
REGULATION,20278420,8990,24,3,0.00,10.00,0.00,0.00
REGULATION,21285116,9990,24,4,0.00,10.00,0.00,0.00
ACTUATOR,21505640,21505,0.00,0.00,21264,0.00,0
REGULATION,22283208,10995,24,4,0.00,10.00,0.00,0.00
ACTUATOR,22797636,22797,0.00,0.00,22264,0.00,0
REGULATION,23290976,11996,24,4,0.00,10.00,0.00,0.00
REGULATION,24279236,12991,24,5,0.00,10.00,0.00,0.00
ACTUATOR,24391064,24390,0.00,0.00,24264,0.00,0
REGULATION,25279420,13991,24,5,0.00,10.00,0.00,0.00
ACTUATOR,25683092,25682,0.00,0.00,25264,0.00,0
REGULATION,26287312,14992,24,6,0.00,10.00,0.00,0.00
ACTUATOR,26980008,26979,0.00,0.00,26264,0.00,0
REGULATION,27277304,15989,24,6,0.00,10.00,0.00,0.00
